,0
2020-02-26,"('Nuetral', 68)"
2020-02-27,"('Nuetral', 53)"
2020-02-28,"('Nuetral', 70)"
2020-02-29,"('Nuetral', 46)"
2020-03-01,"('Nuetral', 58)"
2020-03-02,"('Positive', 48)"
