,0
2020-02-25,"('Nuetral', 46)"
2020-02-26,"('Nuetral', 109)"
2020-02-27,"('Nuetral', 155)"
2020-02-28,"('Nuetral', 179)"
2020-02-29,"('Positive', 242)"
2020-03-01,"('Positive', 313)"
2020-03-02,"('Positive', 363)"
